,title,genres,rating,rating_voters,season,studio,origin,pg,type,episode_count
429,Арте,Драма;Исторический;Повседневность;Романтика;Сэйнэн,8.6,2028.0,Весна 2020,Seven Arcs,ТВ Сериал,16+,ТВ Сериал,12
430,Удар крови: Потерянное Святое Копьё,Вампиры;Сверхъестественное;Фэнтези;Экшен;Этти,7.4,308.0,,Connect,OVA,18+,OVA,1
431,Этот вампир постоянно умирает,Вампиры;Комедия;Сверхъестественное;Сёнэн,8.2,2817.0,Осень 2021,Madhouse Studios,ТВ Сериал,18+,ТВ Сериал,12
432,Ребята-чирлидеры!!,Драма;Спорт;Школа,7.1,214.0,Лето 2016,Brains Base,ТВ Сериал,16+,ТВ Сериал,12
433,Внук Нурарихёна,Демоны;Сверхъестественное;Сёнэн;Экшен,8.5,1037.0,Лето 2010,Studio DEEN,ТВ Сериал,16+,ТВ Сериал,24
434,Голубой период,Драма;Повседневность,8.9,3767.0,Осень 2021,Seven Arcs,ТВ Сериал,16+,ТВ Сериал,12
435,Двуличная сестренка Умару!,Комедия;Повседневность;Сэйнэн;Школа,7.5,4373.0,Лето 2015,Dogakobo,ТВ Сериал,16+,ТВ Сериал,12
436,Пастельные воспоминания,Приключения;Фантастика;Экшен,6.2,126.0,Зима 2019,Project No.9,ТВ Сериал,16+,ТВ Сериал,12
437,Домовой дух Татами,Комедия;Сверхъестественное;Ужасы,5.8,130.0,,Zero-G,ONA,16+,ONA,12
438,Баки OVA,Боевые искусства;Сёнэн;Экшен,6.5,503.0,,Telecom Animation Film,OVA,18+,OVA,1
439,Принц тенниса: Подарок Атобэ,Комедия;Сёнэн;Спорт,,,,Trans Arts,Фильм,16+,Фильм,1
440,Влюблённые учёные и научное доказательство любви,Комедия;Романтика,8.4,4502.0,Зима 2020,Zero-G,ТВ Сериал,16+,ТВ Сериал,12
441,Сказание о демонах сакуры OVA,Драма;Исторический;Самураи;Сверхъестественное;Экшен,7.1,121.0,,Studio DEEN,OVA,16+,OVA,2
442,Индекс волшебства,Супер сила;Фантастика;Фэнтези;Экшен,7.8,2116.0,Осень 2008,J.C. Staff,ТВ Сериал,18+,ТВ Сериал,24
443,Музыкальная школа звёзд 2: Дополнительные эпизод,Музыка,,,,,Спешл,16+,Спешл,1
444,Добро пожаловать в класс превосходства,Драма;Повседневность;Психологическое;Школа,8.8,26505.0,Лето 2017,Lerche,ТВ Сериал,16+,ТВ Сериал,12
445,Лабиринт Грисайи,Драма,8.9,2524.0,,8bit,Спешл,18+,Спешл,1
446,Так сложно любить отаку,Комедия;Повседневность;Романтика,8.9,11546.0,Весна 2018,A-1 Pictures Inc.,ТВ Сериал,16+,ТВ Сериал,11
447,Атака титанов: Выбор без сожалений,Сёдзё;Фэнтези;Экшен,9.3,7030.0,,Wit Studio,OVA,18+,OVA,2
448,Маска героя,Детектив;Полиция;Фантастика;Экшен,7.2,260.0,,Studio Pierrot,ONA,18+,ONA,15
449,Золотое божество OVA,Исторический;Приключения;Сэйнэн;Экшен,8.3,439.0,,Geno Studio,OVA,18+,OVA,1
450,Моя геройская академия 2: Заметки героя,Комедия;Супер сила;Экшен,8.0,2087.0,,Bones,Спешл,16+,Спешл,1
451,Заметки Ятогамэ 2,Комедия;Повседневность;Сёнэн;Школа,6.4,140.0,Зима 2020,Creators in Pack,ТВ Сериал,16+,ТВ Сериал,12
452,Человек-мускул,Комедия;Сёнэн;Спорт,4.4,461.0,Лето 2024,Production I.G,ТВ Сериал,16+,ТВ Сериал,11
453,Ненасытный Берсерк,Фэнтези;Экшен,7.9,10139.0,Осень 2023,A.C.G.T.,ТВ Сериал,16+,ТВ Сериал,12
454,Мастера Меча Онлайн: Порядковый ранг,Игры;Приключения;Романтика;Фэнтези;Экшен,8.7,9892.0,,A-1 Pictures Inc.,Фильм,18+,Фильм,1
