,title,genres,rating,rating_voters,season,studio,origin,pg,type,episode_count
0,Другая сторона сэйю на радио,Драма;Комедия;Школа,7.7,178.0,Весна 2024,Connect,ТВ Сериал,16+,ТВ Сериал,12
1,Истории подделок,Детектив;Комедия;Сверхъестественное;Этти,8.7,1593.0,Зима 2012,SHAFT,ТВ Сериал,18+,ТВ Сериал,11
2,Дневник будущего: Повторный набор,Психологическое;Сверхъестественное;Сёнэн;Экшен,8.1,3135.0,,asread,OVA,18+,OVA,1
3,Рассвет Йоны,Комедия;Приключения;Романтика;Сёдзё;Фэнтези;Экшен,8.9,2891.0,Осень 2014,Studio Pierrot,ТВ Сериал,16+,ТВ Сериал,24
4,"Дальше, чем космос",Драма;Комедия;Повседневность;Приключения,8.7,459.0,Зима 2018,Madhouse Studios,ТВ Сериал,16+,ТВ Сериал,13
5,Взрывной храбрец Брэйверн,Военное;Комедия;Меха;Фантастика;Экшен,6.0,396.0,Зима 2024,,ТВ Сериал,16+,ТВ Сериал,12
6,Темнее черного,Детектив;Супер сила;Фантастика;Экшен,8.9,4025.0,Весна 2007,Bones,ТВ Сериал,18+,ТВ Сериал,25
7,Маги: Лабиринт магии,Магия;Приключения;Сёнэн;Фэнтези;Экшен,8.7,2862.0,Осень 2012,A-1 Pictures Inc.,ТВ Сериал,16+,ТВ Сериал,25
8,Президент студсовета — горничная! Спешл,Комедия;Сёдзё;Школа,8.3,1256.0,,J.C. Staff,Спешл,16+,Спешл,1
9,Нет игры - нет жизни: Спешлы,Игры;Фэнтези;Этти,7.9,2792.0,,Madhouse Studios,Спешл,16+,Спешл,6
10,Миг за мигом,Детектив;Драма;Психологическое;Сверхъестественное;Сэйнэн,8.1,945.0,Зима 2018,Geno Studio,ТВ Сериал,18+,ТВ Сериал,12
11,Черный кот,Комедия;Приключения;Сёнэн;Супер сила;Фантастика,7.4,284.0,Осень 2005,Gonzo,ТВ Сериал,16+,ТВ Сериал,23
12,У Коми проблемы с общением,Комедия;Повседневность;Сёнэн;Школа,8.4,13919.0,Осень 2021,Oriental Light and Magic,ТВ Сериал,16+,ТВ Сериал,12
13,Непутёвый ученик в школе магии: Воспоминания,Сверхъестественное;Фантастика,8.9,1867.0,,8bit,Спешл,16+,Спешл,1
14,Подземелье Токио,Приключения;Романтика;Сёнэн;Супер сила;Фантастика;Экшен,7.2,163.0,Весна 2002,Studio Pierrot,ТВ Сериал,12+,ТВ Сериал,26
15,Нет игры — нет жизни,Игры;Комедия;Сверхъестественное;Фэнтези;Этти,8.9,18543.0,Весна 2014,Madhouse Studios,ТВ Сериал,18+,ТВ Сериал,12
16,Баскетбольный клуб!,Комедия;Спорт;Школа;Этти,6.7,295.0,Лето 2011,Barnum Studio,ТВ Сериал,16+,ТВ Сериал,12
17,Психопаспорт 3,Детектив;Полиция;Психологическое;Фантастика;Экшен,8.0,1648.0,Осень 2019,Production I.G,ТВ Сериал,18+,ТВ Сериал,8
18,Мэри и ведьмин цветок,Магия;Приключения;Фэнтези,8.6,1913.0,,Studio Ponoc,Фильм,16+,Фильм,1
19,Маленькие проказники!,Драма;Комедия;Повседневность;Сверхъестественное;Школа,7.9,323.0,Осень 2012,J.C. Staff,ТВ Сериал,16+,ТВ Сериал,26
20,Аоаси,Спорт;Сэйнэн,9.1,3906.0,Весна 2022,Production I.G,ТВ Сериал,16+,ТВ Сериал,24
21,Атака титанов 3. Часть 2,Военное;Детектив;Драма;Сёнэн;Супер сила;Фэнтези;Экшен,9.4,24260.0,Весна 2019,Wit Studio,ТВ Сериал,18+,ТВ Сериал,10
22,Вечера с кошкой 2,Комедия,8.9,613.0,,Studio Puyukai,ONA,6+,ONA,30
23,Малыши! Чёрный клевер,Комедия;Магия;Сёнэн;Фэнтези,6.7,389.0,,DLE Inc.,ONA,16+,ONA,8
24,Книга магии для начинающих с нуля,Приключения;Фэнтези;Экшен,8.3,4142.0,Весна 2017,White Fox,ТВ Сериал,16+,ТВ Сериал,12
25,Тетрадь дружбы Нацумэ 6: Спешлы,Драма;Повседневность;Сверхъестественное;Сёдзё;Фэнтези,8.8,265.0,,Studio Shuka,Спешл,16+,Спешл,2
26,Фокусница-старшеклассница,Комедия;Сэйнэн;Школа;Этти,7.3,2018.0,Лето 2019,LIDEN FILMS,ТВ Сериал,16+,ТВ Сериал,12
27,Ван-Пис 3D: Погоня за соломенной шляпой,Комедия;Приключения;Сёнэн;Фэнтези;Экшен,5.8,354.0,,Toei Animation,Фильм,16+,Фильм,1
28,Империя мёртвых,Исторический;Психологическое;Фантастика,8.1,1634.0,,Wit Studio,Фильм,18+,Фильм,1
29,Смертельный укус,Сэйнэн;Ужасы;Фантастика;Экшен;Этти,7.7,1900.0,Зима 2018,LIDEN FILMS,ТВ Сериал,18+,ТВ Сериал,12
30,Усио и Тора,Демоны;Комедия;Приключения;Сверхъестественное;Сёнэн;Экшен,8.8,1816.0,Лето 2015,MAPPA,ТВ Сериал,16+,ТВ Сериал,26
31,Вольный стиль!,Драма;Комедия;Повседневность;Спорт;Школа,8.4,2924.0,Лето 2013,Animation Do,ТВ Сериал,16+,ТВ Сериал,12
32,"Луна, Лайка и Носферату",Вампиры;Космос;Фантастика,8.5,3028.0,Осень 2021,,ТВ Сериал,18+,ТВ Сериал,12
33,Красноволосая принцесса Белоснежка OVA,Драма;Романтика;Сёдзё;Фэнтези,8.8,871.0,,Bones,OVA,16+,OVA,1
34,Лунное путешествие приведёт к новому миру 2,Комедия;Приключения;Фэнтези;Экшен,9.0,14227.0,Зима 2024,J.C. Staff,ТВ Сериал,16+,ТВ Сериал,25
35,Чистый звук,Драма;Музыка;Повседневность;Сёнэн;Школа,8.5,1296.0,Весна 2021,Shin-Ei Animation,ТВ Сериал,16+,ТВ Сериал,12
36,Re: Жизнь с нуля в альтернативном мире: Снежные воспоминания,Драма;Психологическое;Триллер;Фэнтези,8.4,5014.0,,White Fox,Фильм,16+,Фильм,1
37,Грибной щенок,Повседневность;Сэйнэн,6.9,111.0,Осень 2024,C-Station,ТВ Сериал,16+,ТВ Сериал,1
38,Трусливый велосипедист 2: Большая дорога,Драма;Комедия;Сёнэн;Спорт,7.9,308.0,Осень 2014,TMS Entertainment,ТВ Сериал,16+,ТВ Сериал,24
39,Один из отвергнутых: Изгой 2,Сверхъестественное;Супер сила;Экшен,8.2,960.0,,Haoliners Animation League,ONA,18+,ONA,1
40,Кайдзи,Игры;Психологическое;Сэйнэн;Триллер,8.7,1700.0,Осень 2007,Madhouse Studios,ТВ Сериал,18+,ТВ Сериал,26
41,Рыцари усердия,Дзёсэй;Спорт;Школа,6.9,164.0,Лето 2019,Gonzo,ТВ Сериал,16+,ТВ Сериал,12
42,"Витубер: Я стала популярной после того, как забыла выключить стрим",Комедия,6.9,1372.0,Лето 2024,TNK,ТВ Сериал,16+,ТВ Сериал,12
43,Супербои в повседневности,Гарем;Комедия;Сверхъестественное;Школа,7.2,532.0,Осень 2014,Trigger,ТВ Сериал,16+,ТВ Сериал,12
44,А всё-таки город вертится,Комедия;Повседневность;Сэйнэн,7.2,173.0,Осень 2010,SHAFT,ТВ Сериал,16+,ТВ Сериал,12
45,Из нового света,Детектив;Драма;Психологическое;Сверхъестественное;Ужасы;Фантастика,8.1,1107.0,Осень 2012,A-1 Pictures Inc.,ТВ Сериал,18+,ТВ Сериал,25
46,Лу за стеной,Музыка;Приключения;Фэнтези,8.0,221.0,,Science SARU,Фильм,16+,Фильм,1
47,"В лес, где мерцают светлячки",Драма;Романтика;Сверхъестественное;Сёдзё,9.1,11901.0,,Brains Base,Фильм,6+,Фильм,1
48,Ещё больше любовных неприятностей,Гарем;Комедия;Сёнэн;Фантастика;Школа;Этти,8.0,1120.0,Осень 2010,XEBEC,ТВ Сериал,18+,ТВ Сериал,12
49,Забвение бэттери,Сёнэн;Спорт;Школа,8.2,500.0,Весна 2024,MAPPA,ТВ Сериал,16+,ТВ Сериал,12
50,Волшебный учитель Нэгима! Белые крылья,Вампиры;Гарем;Комедия;Магия;Приключения;Романтика;Сверхъестественное;Сёнэн;Этти,6.1,127.0,,SHAFT,OVA,16+,OVA,3
51,Трусливый велосипедист: Перерождение,Драма;Комедия;Сёнэн;Спорт,5.2,105.0,,TMS Entertainment,Фильм,16+,Фильм,1
52,Повседневная жизнь бессмертного короля 4,Комедия;Приключения;Фэнтези;Школа,8.3,1773.0,,,ONA,16+,ONA,1
53,Кровопийцы,Вампиры;Сверхъестественное;Экшен,6.8,651.0,Осень 2016,Creators in Pack,ТВ Сериал,18+,ТВ Сериал,12
54,Ван-Пис: Футбольный король мечты,Комедия;Сёнэн;Спорт;Фэнтези,7.2,473.0,,Toei Animation,Спешл,16+,Спешл,1
55,Фантазия Гранблю,Приключения;Фэнтези,7.3,818.0,Весна 2017,A-1 Pictures Inc.,ТВ Сериал,16+,ТВ Сериал,13
56,"Последнее поле брани между тобой и мной, или Святая война сотворения мира",Военное;Романтика;Фэнтези;Экшен,8.2,5855.0,Осень 2020,Silver Link,ТВ Сериал,16+,ТВ Сериал,12
57,SK8: На скейте в бесконечность,Комедия;Спорт,9.3,19777.0,Зима 2021,Bones,ТВ Сериал,12+,ТВ Сериал,12
58,Восхождение в тени!,Комедия;Фэнтези;Экшен,8.9,33578.0,Осень 2022,Nexus,ТВ Сериал,18+,ТВ Сериал,20
59,Синий экзорцист: Нечестивый король Киото OVA,Демоны;Сверхъестественное;Сёнэн;Фэнтези;Экшен,8.2,806.0,,A-1 Pictures Inc.,OVA,16+,OVA,2
60,Рок-шоу!!,Комедия;Музыка,7.6,292.0,Весна 2015,Bones,ТВ Сериал,12+,ТВ Сериал,12
61,Пингвиний барабан,Безумие;Детектив;Драма;Комедия;Психологическое,7.3,259.0,Лето 2011,Brains Base,ТВ Сериал,18+,ТВ Сериал,24
62,Плач Асуры 2,Меха;Сверхъестественное;Экшен,6.6,110.0,Осень 2009,Seven Arcs,ТВ Сериал,16+,ТВ Сериал,13
63,Как воспитать героиню из обычной девушки 2: Эпизод 0,Гарем;Комедия;Романтика;Школа;Этти,8.1,895.0,,A-1 Pictures Inc.,Спешл,16+,Спешл,1
64,"Ты единственная, кто любит Великого Меня?! OVA",Комедия;Романтика;Школа,8.8,3539.0,,Студийная Банда,OVA,16+,OVA,1
65,Граница пустоты 8: Эпилог,Детектив,8.0,480.0,,ufotable,Спешл,16+,Спешл,1
66,Королевская игра,Безумие;Детектив;Драма;Сверхъестественное;Ужасы;Школа,6.9,2840.0,Осень 2017,Seven,ТВ Сериал,18+,ТВ Сериал,12
67,Акватоп белого песка,Драма;Повседневность,8.1,584.0,Лето 2021,P.A. Works,ТВ Сериал,16+,ТВ Сериал,24
68,Ковбой Бибоп,Драма;Комедия;Космос;Приключения;Фантастика;Экшен,9.3,8848.0,Весна 1998,Sunrise,ТВ Сериал,18+,ТВ Сериал,26
69,Куроицу из отдела сверхчеловеческого развития,Комедия;Фэнтези,6.7,863.0,Зима 2022,,ТВ Сериал,16+,ТВ Сериал,12
70,Принц после школы,Комедия;Сёнэн;Спорт;Школа,,,,,Спешл,16+,Спешл,5
71,Путешествие Кино: Прекрасный мир,Повседневность;Приключения;Психологическое;Экшен,8.8,354.0,Весна 2003,A.C.G.T.,ТВ Сериал,18+,ТВ Сериал,13
72,Пожарный Дайго: Спаситель в оранжевом,Драма;Сёнэн;Экшен,7.2,365.0,Осень 2023,Brains Base,ТВ Сериал,16+,ТВ Сериал,24
73,Акудама Драйв,Фантастика;Экшен,8.7,14034.0,Осень 2020,Studio Pierrot,ТВ Сериал,18+,ТВ Сериал,12
74,Давайте сыграем: Спешлы,Комедия,7.1,187.0,,Lerche,Спешл,16+,Спешл,2
75,Моя геройская академия 3,Комедия;Сёнэн;Супер сила;Школа;Экшен,8.8,14045.0,Весна 2018,Bones,ТВ Сериал,16+,ТВ Сериал,25
76,Яркая Тихая 2,Дзёсэй;Драма;Игры;Повседневность;Спорт;Школа,8.7,410.0,Зима 2013,Madhouse Studios,ТВ Сериал,16+,ТВ Сериал,25
77,Стальная тревога! Новый рейд: Выходной день капитана,Комедия,7.8,265.0,,,Спешл,16+,Спешл,1
78,Вперед! Вперед! 575,Повседневность,5.0,150.0,Зима 2014,C2C,ТВ Сериал,16+,ТВ Сериал,4
79,Удар! Гол в будущее,Сёнэн;Спорт,6.1,306.0,Лето 2022,EMT²,ТВ Сериал,16+,ТВ Сериал,13
80,Ради своей дочери я смогу победить даже короля демонов,Повседневность;Фэнтези,8.6,3373.0,Лето 2019,,ТВ Сериал,16+,ТВ Сериал,12
81,Ария,Повседневность;Сёнэн;Фантастика;Фэнтези,8.0,160.0,Осень 2005,Hal Film Maker,ТВ Сериал,6+,ТВ Сериал,13
82,Высокая скорость: Так начинался «Вольный стиль!»,Драма;Комедия;Повседневность;Спорт;Школа,8.8,574.0,,Kyoto Animation,Фильм,16+,Фильм,1
83,Промар,Меха;Супер сила;Фантастика;Экшен,8.2,1380.0,,Trigger,Фильм,16+,Фильм,1
84,Господин и пёс,Исторический;Повседневность;Самураи,7.9,139.0,Осень 2024,Oriental Light and Magic,ТВ Сериал,16+,ТВ Сериал,24
85,Девять золушек в августе,Спорт;Школа,6.5,129.0,Весна 2019,TMS Entertainment,ТВ Сериал,16+,ТВ Сериал,12
86,Дворянство: Пробуждение,Вампиры;Сверхъестественное;Школа;Экшен,8.9,1927.0,,Production I.G,ONA,18+,ONA,1
87,Бродяга Кэнсин: Беспорядки в Киото,Исторический;Самураи;Сёнэн;Экшен,9.1,470.0,Осень 2024,LIDEN FILMS,ТВ Сериал,16+,ТВ Сериал,1
88,Легенда о Белом Коте 2,Боевые искусства;Детектив;Исторический;Комедия;Экшен,7.9,170.0,,,ONA,16+,ONA,1
89,Торадора! OVA,Комедия;Повседневность;Романтика;Школа,8.2,876.0,,J.C. Staff,OVA,16+,OVA,1
90,Бегущий по лезвию: Чёрный лотос,Триллер;Фантастика,5.5,466.0,Осень 2021,Sola Digital Arts,ТВ Сериал,18+,ТВ Сериал,13
91,Команда мечты,Драма;Комедия;Сёнэн;Спорт;Школа,8.5,1461.0,Осень 2019,Diomedea,ТВ Сериал,16+,ТВ Сериал,50
92,Двуличная сестренка Умару! 2,Комедия;Повседневность;Сэйнэн;Школа,7.9,2186.0,Осень 2017,Dogakobo,ТВ Сериал,16+,ТВ Сериал,12
93,Наруто: Ураганные хроники,Боевые искусства;Комедия;Сёнэн;Супер сила;Экшен,9.3,24660.0,Зима 2007,Studio Pierrot,ТВ Сериал,18+,ТВ Сериал,500
94,Скитальцы,Исторический;Комедия;Приключения;Самураи;Сэйнэн;Фэнтези;Экшен,9.0,6840.0,Осень 2016,Hoods Drifters Studio,ТВ Сериал,18+,ТВ Сериал,12
95,Война двенадцати,Экшен,7.9,3648.0,Осень 2017,Graphinica,ТВ Сериал,18+,ТВ Сериал,12
96,Семь смертных грехов: Гнев богов,Магия;Приключения;Сверхъестественное;Сёнэн;Фэнтези;Экшен,8.2,8288.0,Осень 2019,Studio DEEN,ТВ Сериал,16+,ТВ Сериал,24
97,Зачатие: Роди мне ребёнка!,Гарем;Магия;Приключения;Романтика;Фэнтези;Экшен,5.0,1280.0,Осень 2018,Gonzo,ТВ Сериал,16+,ТВ Сериал,12
98,Перестану быть героем,Комедия;Приключения;Фэнтези;Экшен,8.1,12347.0,Весна 2022,EMT²,ТВ Сериал,16+,ТВ Сериал,12
99,Девушки-пони: Славное дерби,Спорт,7.7,736.0,Весна 2018,P.A. Works,ТВ Сериал,16+,ТВ Сериал,13
100,Слабый удар: Последняя стадия,Драма;Романтика;Фантастика;Экшен,8.4,607.0,Осень 2018,Diomedea,ТВ Сериал,16+,ТВ Сериал,4
101,Хочу стать сильнейшей в мире!,Спорт;Экшен;Этти,5.8,282.0,Осень 2013,Arms,ТВ Сериал,18+,ТВ Сериал,12
102,"Танцуй свой танец, танцор",Драма;Сэйнэн,8.5,999.0,Весна 2022,MAPPA,ТВ Сериал,16+,ТВ Сериал,11
103,Блейм!,Меха;Фантастика,6.3,301.0,,Group TAC,ONA,18+,ONA,6
104,Медуза не умеет плавать в ночи,,8.7,2412.0,Весна 2024,Dogakobo,ТВ Сериал,16+,ТВ Сериал,12
105,Фена: Принцесса пиратов,Приключения;Экшен,8.5,2941.0,Лето 2021,Production I.G,ТВ Сериал,16+,ТВ Сериал,12
106,Семейка Франкенштейн,Повседневность;Сэйнэн;Фантастика,7.2,663.0,,,ONA,16+,ONA,12
107,Магистр дьявольского культа: Чиби,Исторический;Комедия;Магия;Сверхъестественное,9.1,1058.0,,G.CMay Animation & Film,ONA,16+,ONA,30
108,Мув-Лув: Альтернатива 2,Военное;Драма;Меха;Фантастика;Экшен,7.4,191.0,Осень 2022,Graphinica,ТВ Сериал,18+,ТВ Сериал,12
109,Наш дождливый протокол,Экшен,7.0,1029.0,Осень 2023,,ТВ Сериал,16+,ТВ Сериал,12
110,Фантастическая Звезда Онлайн 2: Эпизод Оракул,Космос;Фантастика;Экшен,6.9,177.0,Осень 2019,Gonzo,ТВ Сериал,16+,ТВ Сериал,25
111,Жрицы с мечами,Фэнтези;Экшен,7.6,177.0,Зима 2018,Studio Gokumi,ТВ Сериал,16+,ТВ Сериал,24
112,Живая любовь! Суперзвезда!! 2,Музыка;Повседневность;Школа,7.6,178.0,Лето 2022,Sunrise,ТВ Сериал,16+,ТВ Сериал,12
113,Судьба/Апокриф,Драма;Исторический;Магия;Сверхъестественное;Фэнтези;Экшен,8.2,1742.0,Лето 2017,A-1 Pictures Inc.,ТВ Сериал,18+,ТВ Сериал,25
114,Покемон: Солнце и луна,Детское;Игры;Фэнтези;Школа;Экшен,7.4,436.0,Осень 2016,Oriental Light and Magic,ТВ Сериал,12+,ТВ Сериал,146
115,Смертельный бильярд,Детектив;Драма;Игры;Психологическое;Триллер,8.8,2831.0,,Madhouse Studios,Фильм,18+,Фильм,1
116,Поэзия теней: Пламя,Игры;Фэнтези,5.2,162.0,Весна 2022,ZEXCS,ТВ Сериал,16+,ТВ Сериал,50
117,Некий научный Рейлган S: Все важнейшие открытия делаются во время купания,Комедия,6.4,198.0,,J.C. Staff,OVA,16+,OVA,1
118,Волейбол!! Начало и конец,Драма;Комедия;Сёнэн;Спорт;Школа,8.8,1602.0,,Production I.G,Фильм,16+,Фильм,1
119,Клуб кабуки: Спешл,Школа,,,,Studio DEEN,Спешл,16+,Спешл,1
120,Аниме-истории,Комедия;Пародия;Школа,6.6,197.0,Осень 2017,Wao World,ТВ Сериал,16+,ТВ Сериал,12
121,Цикл историй: Второй сезон,Вампиры;Детектив;Комедия;Романтика;Сверхъестественное,9.0,1249.0,Лето 2013,SHAFT,ТВ Сериал,18+,ТВ Сериал,26
122,Песня боевых принцесс: Мехасимфония 2,Музыка;Фантастика;Экшен,6.3,115.0,Лето 2013,Satelight,ТВ Сериал,16+,ТВ Сериал,13
123,Брачные узы с семьёй Амагами,Гарем;Комедия;Романтика;Сёнэн,7.4,377.0,Осень 2024,,ТВ Сериал,16+,ТВ Сериал,1
124,Флотская коллекция. Фильм,Военное;Драма;Фантастика;Экшен,6.8,127.0,,Diomedea,Фильм,16+,Фильм,1
125,Калигула,Фантастика;Экшен,6.5,222.0,Весна 2018,Satelight,ТВ Сериал,16+,ТВ Сериал,12
126,Семейная жизнь легкомысленной ведьмы,Комедия;Фэнтези,7.6,2305.0,Осень 2023,A-Real,ТВ Сериал,16+,ТВ Сериал,12
127,Принц тенниса: Спешлы,Драма;Комедия;Сёнэн;Спорт,,,,Production I.G,Спешл,16+,Спешл,8
128,Бесконечный Дендрограм,Игры;Фэнтези,7.7,3827.0,Зима 2020,NAZ,ТВ Сериал,16+,ТВ Сериал,13
129,Технороид: Сверхразум,Детектив;Музыка;Повседневность;Фантастика,7.0,379.0,Зима 2023,Dogakobo,ТВ Сериал,16+,ТВ Сериал,12
130,Игра друзей,Игры;Психологическое;Сёнэн,9.0,17053.0,Весна 2022,,ТВ Сериал,18+,ТВ Сериал,12
131,Первый шаг: Путь чемпиона,Комедия;Сёнэн;Спорт,8.8,543.0,,Madhouse Studios,Спешл,16+,Спешл,1
132,Синий экзорцист: Спешлы,Сверхъестественное;Сёнэн;Фэнтези;Экшен,7.8,1046.0,,A-1 Pictures Inc.,Спешл,16+,Спешл,10
133,"Активный рейд: Мобильная боевая дивизия, восьмой отряд 2",Комедия;Меха;Полиция;Фантастика,5.1,101.0,Лето 2016,Production IMS,ТВ Сериал,16+,ТВ Сериал,12
134,О моём перерождении в слизь,Сёнэн;Фэнтези,9.1,25171.0,Осень 2018,8bit,ТВ Сериал,18+,ТВ Сериал,24
135,Великий из бродячих псов 2,Детектив;Сверхъестественное;Сэйнэн;Экшен,8.9,11028.0,Осень 2016,Bones,ТВ Сериал,18+,ТВ Сериал,12
136,Семь смертных грехов,Магия;Приключения;Сверхъестественное;Сёнэн;Фэнтези;Экшен;Этти,8.8,14997.0,Осень 2014,A-1 Pictures Inc.,ТВ Сериал,16+,ТВ Сериал,24
137,Очаровательная богиня еды 3,Драма;Исторический;Комедия;Романтика,8.6,540.0,,,ONA,16+,ONA,12
138,Яркая Тихая 3,Дзёсэй;Драма;Игры;Повседневность;Спорт;Школа,8.6,379.0,Осень 2019,Madhouse Studios,ТВ Сериал,16+,ТВ Сериал,24
139,Синяя тюрьма: Блю Лок против юношеской сборной Японии,Сёнэн;Спорт,7.5,1872.0,Осень 2024,8bit,ТВ Сериал,16+,ТВ Сериал,1
140,Мастера Меча Онлайн: Алисизация — Война в Подмирье,Игры;Приключения;Романтика;Фэнтези;Экшен,8.7,11874.0,Осень 2019,A-1 Pictures Inc.,ТВ Сериал,18+,ТВ Сериал,12
141,Путь аса: Второй акт,Комедия;Сёнэн;Спорт;Школа,8.8,335.0,Весна 2019,Madhouse Studios,ТВ Сериал,16+,ТВ Сериал,52
142,Лунный проект 2,Музыка,,,Лето 2021,PRA,ТВ Сериал,16+,ТВ Сериал,13
143,Не ешь сырую свинину,Комедия;Приключения;Фэнтези,6.8,1610.0,Осень 2023,Project No.9,ТВ Сериал,16+,ТВ Сериал,12
144,Босоногий Гэн 2,Драма;Исторический;Сёнэн,8.4,452.0,,Madhouse Studios,Фильм,16+,Фильм,1
145,Миллион Артуров: Спешл,Магия;Приключения;Фэнтези;Экшен,,,,J.C. Staff,Спешл,16+,Спешл,1
146,Дропкик злого духа: Конец века,Комедия;Сверхъестественное,6.1,179.0,,,Спешл,16+,Спешл,1
147,Психические войны,Демоны;Супер сила;Сэйнэн;Экшен,5.2,124.0,,Toei Animation,OVA,18+,OVA,1
148,Моя геройская академия 2,Комедия;Сёнэн;Супер сила;Школа;Экшен,8.8,15458.0,Весна 2017,Bones,ТВ Сериал,16+,ТВ Сериал,25
149,Ну не может моя сестрёнка быть такой милой,Комедия;Повседневность,7.1,1951.0,Осень 2010,AIC Build,ТВ Сериал,18+,ТВ Сериал,12
150,Феи из бутылки,Комедия;Магия;Повседневность;Фэнтези,6.2,163.0,Осень 2003,XEBEC,ТВ Сериал,6+,ТВ Сериал,13
151,Перерождение в аристократа со способностью анализа,Приключения;Фэнтези,7.8,7417.0,Весна 2024,,ТВ Сериал,16+,ТВ Сериал,12
152,Сага о Винланде 2,Драма;Приключения;Экшен,9.0,19118.0,Зима 2023,MAPPA,ТВ Сериал,18+,ТВ Сериал,24
153,Красноволосая принцесса Белоснежка 2,Драма;Романтика;Сёдзё;Фэнтези,8.9,2339.0,Зима 2016,Bones,ТВ Сериал,16+,ТВ Сериал,12
154,Да здравствует Амитабха: Лотус Утены,Фэнтези,7.1,150.0,Весна 2019,Asahi Production,ТВ Сериал,16+,ТВ Сериал,12
155,Гуррен-Лаганн: Спешл,Комедия;Меха;Приключения;Фантастика;Экшен,8.7,844.0,,Gainax,Спешл,16+,Спешл,1
156,Не сдавайся!,Драма;Комедия;Романтика;Сёдзё,9.1,1110.0,Осень 2008,Hal Film Maker,ТВ Сериал,16+,ТВ Сериал,25
157,Фарс из убийства девушки-нежити,Вампиры;Детектив;Исторический;Сверхъестественное;Фэнтези,9.0,8734.0,Лето 2023,,ТВ Сериал,18+,ТВ Сериал,13
158,Триган: Переполох в пустошах,Драма;Комедия;Приключения;Сёнэн;Фантастика;Экшен,9.0,1174.0,,Madhouse Studios,Фильм,16+,Фильм,1
159,Фантазия о Троецарствии: Духовность небес,Исторический;Фэнтези,5.0,338.0,Зима 2022,GEEKTOYS,ТВ Сериал,16+,ТВ Сериал,12
160,Повседневная жизнь бессмертного короля 3,Комедия;Повседневность;Приключения;Фэнтези,7.7,4968.0,,,ONA,16+,ONA,12
161,"Перевоплотился в седьмого принца, так что я буду совершенствовать свою магию, как захочу",Приключения;Фэнтези,8.2,10572.0,Весна 2024,,ТВ Сериал,16+,ТВ Сериал,12
162,Повседневная жизнь бессмертного короля 2,Демоны;Комедия;Повседневность;Приключения;Фэнтези;Школа,7.9,8797.0,,Haoliners Animation League,ONA,16+,ONA,12
163,Власть книжного червя 2,Повседневность;Фэнтези,8.9,4436.0,Весна 2020,Ajia-Do,ТВ Сериал,16+,ТВ Сериал,12
164,Слишком много проигравших героинь!,Комедия;Романтика;Школа,8.5,5165.0,Лето 2024,A-1 Pictures Inc.,ТВ Сериал,16+,ТВ Сериал,12
165,Дорога зверя,Комедия;Сёнэн;Фэнтези,7.7,3357.0,Осень 2019,ENGI,ТВ Сериал,18+,ТВ Сериал,12
166,Восемьдесят шесть: Спецвыпуск,Военное;Драма;Фантастика;Экшен,8.6,2519.0,,A-1 Pictures Inc.,Спешл,18+,Спешл,1
167,Тетрадь дружбы Нацумэ: Нянко-сэнсэй и первое поручение,Драма;Повседневность;Сверхъестественное;Сёдзё;Фэнтези,8.7,256.0,,Brains Base,Спешл,16+,Спешл,1
168,Дворянство: Начало разрушения,Приключения;Сверхъестественное;Экшен,8.7,1394.0,,StudioAnimal Co.,OVA,18+,OVA,1
169,"Время пыток, принцесса!",Комедия;Сёнэн;Фэнтези,6.6,1363.0,Зима 2024,Pine Jam,ТВ Сериал,16+,ТВ Сериал,12
170,Токийские мстители,Драма;Сверхъестественное;Сёнэн;Школа;Экшен,8.8,33461.0,Весна 2021,LIDEN FILMS,ТВ Сериал,18+,ТВ Сериал,24
171,Горячий парень Джей,Меха;Полиция;Приключения;Фантастика;Экшен,6.8,129.0,Осень 2002,Satelight,ТВ Сериал,16+,ТВ Сериал,25
172,Ми-ми-ми-мишка 2,Комедия;Приключения;Фэнтези,7.8,1693.0,Весна 2023,EMT²,ТВ Сериал,16+,ТВ Сериал,12
173,Юна и горячие источники с призраками,Гарем;Комедия;Романтика;Сверхъестественное;Сёнэн;Этти,8.3,1391.0,,Signal. MD,OVA,18+,OVA,4
174,"Клинок, рассекающий демонов: Деревня кузнецов",Исторический;Сёнэн;Фэнтези;Экшен,9.2,35680.0,Весна 2023,ufotable,ТВ Сериал,18+,ТВ Сериал,11
175,Члены школьного совета,Комедия;Повседневность;Сёнэн;Школа,7.8,508.0,,GoHands,Фильм,18+,Фильм,1
176,Семья шпиона,Комедия;Сёнэн;Экшен,9.2,38688.0,Весна 2022,CloverWorks,ТВ Сериал,16+,ТВ Сериал,12
177,Берсерк,Военное;Демоны;Драма;Приключения;Романтика;Сверхъестественное;Сэйнэн;Ужасы;Фэнтези;Экшен,9.4,17009.0,Осень 1997,Oriental Light and Magic,ТВ Сериал,18+,ТВ Сериал,25
178,Моя геройская академия 4,Комедия;Сёнэн;Супер сила;Школа;Экшен,8.9,14522.0,Осень 2019,Bones,ТВ Сериал,16+,ТВ Сериал,25
179,О движении Земли,Драма;Исторический;Сэйнэн,9.2,1715.0,Осень 2024,Madhouse Studios,ТВ Сериал,18+,ТВ Сериал,1
